name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Parco degli Acquedotti,park_onleash_area,Rome,Italy,41.8617,12.5645,"A vast on-leash park with ancient Roman aqueducts, perfect for a historic stroll with your dog.","Parco degli Acquedotti offers an incredible setting for a walk, with the majestic ruins of ancient Roman aqueducts providing a unique backdrop. The park is vast and mostly flat, with wide grassy fields and unpaved paths. It is a strictly on-leash park to protect the sensitive historical site. There are few amenities, so bringing your own water for your dog is essential, especially on hot summer days. The park is a popular spot for locals, but its size allows for plenty of space to find a quiet corner. Best times to visit are early morning or late afternoon to avoid the midday sun.","4","Dogs must be on a leash at all times. Owners must clean up waste. Do not climb on or damage the ruins.","http://www.parcoacquedotti.it","+39 06 12345678","info@parcoacquedotti.it","free","Mon-Sun: 24/7","4.5","City Park Guide","[""Wide Paths"", ""Grassy Areas"", ""Historic Ruins"", ""Open Space"", ""Scenic Views""]","[""on-leash"", ""park"", ""walking"", ""historic"", ""scenic"", ""aqueduct""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Il Bar del Cane,cafe_dog_friendly,Rome,Italy,41.9022,12.4549,"A cozy cafe with a small, welcoming terrace where dogs are treated with affection.","Il Bar del Cane is a small, local cafe with a big heart for dogs. The owner is a dog lover who provides fresh water bowls and homemade dog biscuits. The cafe has a small sidewalk terrace with a few tables where dogs can relax. The atmosphere is quiet and friendly, making it a great spot for a relaxed coffee break. It's an excellent place for a quick rest during a walk in the neighborhood. They also offer a variety of delicious pastries and sandwiches.","5","Dogs must be on a leash. Please be mindful of the limited space on the terrace. Do not feed your dog from the human menu.","http://www.ilbardelcane.it","+39 06 98765432","info@ilbardelcane.it","$$","Mon-Sat: 08:00-19:00, Sun: 09:00-18:00","4.6","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Dog Treats"", ""Coffee & Pastries"", ""Terrace""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""pet food""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Parco di Villa Doria Pamphilj,park_onleash_area,Rome,Italy,41.8841,12.4402,"A massive, beautiful park with an extensive trail system for on-leash dog walks.","Parco di Villa Doria Pamphilj is Rome's largest landscaped public park and a favorite for dog owners. The park has a mix of paved and unpaved trails, rolling hills, and vast grassy lawns. While most of the park is on-leash, there are a few designated off-leash areas. The park offers plenty of shade and a number of fountains where you can find water. It's a fantastic place for a long, scenic walk or a jog with your dog. It can get busy on weekends, so early mornings are more peaceful.","4","Dogs must be leashed in all non-designated off-leash zones. Owners must clean up waste. Respect other visitors and wildlife.","http://www.parcovillapamphilj.it","+39 06 11223344","contact@parcovillapamphilj.it","free","Mon-Sun: 07:00-21:00","4.7","City Park Guide","[""Paved Paths"", ""Grassy Areas"", ""Shade Trees"", ""Benches"", ""Water Fountains"", ""Scenic Views""]","[""on-leash"", ""park"", ""walking"", ""spacious"", ""scenic"", ""hills""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Fido's Tavola Calda,restaurant_dog_friendly,Rome,Italy,41.9056,12.4907,"A traditional Roman restaurant with a dog-friendly outdoor area, serving classic Italian fare.","Fido's Tavola Calda is a casual eatery with a welcoming atmosphere for dogs and their owners. The restaurant has a spacious outdoor seating area that is perfect for dining with your dog. The staff are friendly and accommodating, and will provide a water bowl upon request. The menu features classic Roman dishes. It's a great spot for a relaxed lunch or dinner after a walk through the city. The terrace is partially covered, offering some relief from the sun or light rain.","4","Dogs must be on a leash and remain under the table. Do not allow your dog on the furniture. Excessive barking is not permitted.","http://www.fidostavolacalda.it","+39 06 87654321","reservations@fidostavolacalda.it","$$$","Mon-Sat: 12:30-15:00, 19:30-23:00","4.2","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Traditional Cuisine"", ""Casual Dining"", ""Terrace""]","[""restaurant"", ""italian"", ""dog friendly"", ""dining"", ""terrace""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Il Mastino,brewery_dog_friendly,Rome,Italy,41.8841,12.4402,"A small brewery with a dog-friendly courtyard, serving unique craft beers.","Il Mastino is a great place to unwind with a good beer and your dog. Their cozy courtyard is dog-friendly and a perfect spot for your pup to relax. The brewery offers a rotating selection of creative craft beers. The staff are friendly and welcoming to dogs, often bringing out a water bowl. The atmosphere is casual and unpretentious. The courtyard is gravel, so be mindful of the heat on sunny days. It's a great local find for dog owners.","4","Dogs must be on a leash. Do not allow your dog to roam freely. Owners are responsible for their pets' behavior.","http://www.ilmastino.it","+39 06 11223345","info@ilmastino.it","$$","Wed-Fri: 18:00-01:00, Sat-Sun: 17:00-02:00","4.3","Verified Business","[""Outdoor Seating"", ""Courtyard"", ""Water Bowls"", ""Craft Beer"", ""Casual""]","[""brewery"", ""dog friendly"", ""craft beer"", ""casual""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Clinica Veterinaria Romana,vet_clinic,Rome,Italy,41.9168,12.4764,"A comprehensive veterinary clinic offering a full range of health services for pets.","Clinica Veterinaria Romana is a respected clinic known for its professional and compassionate care. They offer everything from routine check-ups and vaccinations to advanced surgical procedures. The clinic has a dedicated team of veterinarians and modern diagnostic equipment. They prioritize a calm environment to reduce stress for pets. Appointments are recommended, but they can accommodate emergencies. The staff are excellent at communicating and making sure you and your pet feel at ease.","5","Dogs must be leashed at all times. Please bring your pet's vaccination records. Muzzles may be required for nervous dogs.","http://www.clinicaveterinariaromana.it","+39 06 77889900","info@clinicaveterinariaromana.it","$$$$","Mon-Fri: 09:00-19:00, Sat: 09:00-13:00","4.8","Verified Business","[""Emergency Services"", ""Surgery"", ""Vaccinations"", ""Dental Care"", ""Pharmacy"", ""Diagnostic Imaging""]","[""vet"", ""veterinarian"", ""clinic"", ""health"", ""animal care""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Belli Peli Grooming,grooming_salon,Rome,Italy,41.8904,12.4922,"A friendly and professional grooming salon for dogs, specializing in custom cuts and care.","Belli Peli Grooming provides high-quality grooming services in a calm and friendly environment. They offer baths, haircuts, nail trimming, and de-shedding treatments. The groomers are highly skilled and trained to handle all breeds and temperaments with patience and care. They use hypoallergenic and natural products. The salon is clean and well-organized, and appointments are required. It's a great place to get a stylish and comfortable cut for your dog.","5","Appointments are mandatory. All dogs must have current vaccinations. Please inform staff of any health or behavioral issues.","http://www.bellipeli.it","+39 06 90123456","grooming@bellipeli.it","$$$","Tue-Sat: 09:30-18:30","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Natural Products"", ""Calm Environment""]","[""grooming"", ""salon"", ""dog wash"", ""haircut"", ""pet care""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Happy Dogs Daycare,doggy_daycare,Rome,Italy,41.9126,12.5186,"A supervised doggy daycare with indoor and outdoor play areas for dogs to socialize.","Happy Dogs Daycare is a professional doggy daycare offering a safe and stimulating environment for dogs to play while their owners are away. The facility features a large indoor play area with rubber flooring and a small, secure outdoor space. All dogs are supervised by trained staff to ensure positive interactions. A preliminary temperament test is required to ensure the safety of all dogs. They offer flexible hours and different packages. It's a great way to provide your dog with exercise and socialization during the day.","5","Dogs must be spayed or neutered after 6 months. All vaccinations must be current. A temperament evaluation is required.","http://www.happydogsroma.it","+39 06 78901234","info@happydogsroma.it","$$$","Mon-Fri: 08:00-19:00","4.7","Verified Business","[""Supervised Play"", ""Indoor Play Area"", ""Outdoor Yard"", ""Socialization"", ""Flexible Hours""]","[""daycare"", ""doggy"", ""play"", ""socialize"", ""pet sitting""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Scuola del Cane,dog_training,Rome,Italy,41.8795,12.5028,"Offering professional dog training classes, from basic obedience to advanced behavior modification.","Scuola del Cane is a well-regarded training center that uses positive reinforcement techniques. They offer a variety of classes for all ages and skill levels, including puppy socialization, basic obedience, and city-specific training to handle urban environments. The trainers are certified and experienced. They also offer one-on-one sessions for specific behavioral issues. The classes are small to ensure personalized attention. It's a great place to build a strong bond with your dog and ensure they are well-behaved in all situations.","5","Dogs must be up-to-date on vaccinations. You must register for classes in advance. Dogs with aggression issues may require a private consultation.","http://www.scuoladelcane.it","+39 06 12349876","info@scuoladelcane.it","$$$$","Class schedules vary, check website for details","4.8","Verified Business","[""Puppy Classes"", ""Obedience Training"", ""Behavior Modification"", ""Private Sessions"", ""Positive Reinforcement""]","[""dog training"", ""obedience"", ""puppy class"", ""behavior"", ""trainer""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hotel Amici a Quattro Zampe,hotel_pet_friendly,Rome,Italy,41.9056,12.4907,"A boutique hotel that provides a luxurious and comfortable stay for dogs and their owners.","Hotel Amici a Quattro Zampe is a pet-friendly boutique hotel in a central location. They welcome dogs of all sizes with a special welcome kit that includes a gourmet treat, a comfortable dog bed, and food/water bowls. Dogs are allowed in the rooms and the lobby, but not in the breakfast area. A small surcharge per night applies. The hotel is located close to several parks, making it easy to take your dog out for walks. The staff are exceptionally kind to pets and their owners.","4","A pet surcharge applies. Dogs must be on a leash in public areas. Owners are responsible for any damages.","http://www.hotelamiciaquattrozampe.it","+39 06 87654322","reservations@hotelamiciaquattrozampe.it","$$$$$","Mon-Sun: 24/7","4.5","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Welcome Treat"", ""Pet-Friendly Rooms"", ""Nearby Parks""]","[""hotel"", ""pet friendly"", ""luxury"", ""accommodations"", ""travel""]","[""https://images.unsplash.com/photo-1594950346083-0570d55e4e84"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
