country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
japan,tokyo,Yoyogi Park Dog Run,parks,35.6708,139.6953,"Popular fenced dog park in Harajuku near Meiji Shrine","2-1 Yoyogikamizonocho, Shibuya City, Tokyo 151-0052",https://www.tokyo-park.or.jp,,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?auto=format&fit=crop&w=800&q=80,true
japan,tokyo,Dog Heart from Aquamarine,cafes_restaurants,35.6585,139.7454,"Dog café in Daikanyama where you can meet adoptable dogs","20-23 Sarugakucho, Shibuya City, Tokyo 150-0033",https://www.dogheart.jp,+81-3-6455-3215,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
japan,tokyo,Komazawa Olympic Park Dog Run,parks,35.6285,139.6594,"Large dog park with separate areas for small and large dogs","1-1 Komazawa Park, Setagaya City, Tokyo 154-0013",https://www.tokyo-park.or.jp,,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
japan,tokyo,Green Dog Shibuya,shops_services,35.6580,139.6989,"Premium pet store and grooming salon in Shibuya","3-26-5 Shibuya, Shibuya City, Tokyo 150-0002",https://www.green-dog.com,+81-3-5778-4711,,true
japan,tokyo,Kinuta Park Dog Run,parks,35.6255,139.6225,"Spacious dog park in Setagaya with scenic walking paths","1-1 Kinutakoen, Setagaya City, Tokyo 157-0075",https://www.tokyo-park.or.jp,,,true
japan,tokyo,Wancott Dog Café,cafes_restaurants,35.7089,139.8107,"Dog-friendly café in Arakawa with terrace seating","6-33-5 Higashinippori, Arakawa City, Tokyo 116-0014",https://www.wancott.com,+81-3-3803-3344,,true
japan,tokyo,Shibuya Pet Clinic,shops_services,35.6595,139.7007,"Modern veterinary clinic with English-speaking staff","2-23-12 Dogenzaka, Shibuya City, Tokyo 150-0043",https://www.shibuya-petclinic.jp,+81-3-3461-5544,,true
japan,tokyo,Odaiba Seaside Dog Park,parks,35.6283,139.7742,"Waterfront dog run with Tokyo Bay views","1-6 Daiba, Minato City, Tokyo 135-0091",https://www.tptc.co.jp,,,true
japan,tokyo,Fressness Dog Café,cafes_restaurants,35.6812,139.7671,"Stylish dog café in Yanaka with homemade treats","3-1-23 Sendagi, Bunkyo City, Tokyo 113-0022",https://www.fressness.com,+81-3-3824-6677,,true
japan,tokyo,Pet Paradise Tokyo,shops_services,35.6938,139.7036,"Large pet store with grooming and hotel services","1-14-8 Ikebukuro, Toshima City, Tokyo 171-0014",https://www.petparadise.co.jp,+81-3-5391-7788,,true
japan,tokyo,Inokashira Park Dog Area,parks,35.7014,139.5786,"Scenic park in Kichijoji with designated dog zones","1-18-31 Gotenyama, Musashino, Tokyo 180-0005",https://www.kensetsu.metro.tokyo.lg.jp,,,true
japan,tokyo,Shiba Inu Café,cafes_restaurants,35.6284,139.7387,"Themed café where you can interact with Shiba Inus","1-10-10 Meguro, Meguro City, Tokyo 153-0063",https://www.shibainu-cafe.jp,+81-3-5768-8899,,true
japan,tokyo,Ariake Sports Park Dog Run,parks,35.6394,139.7939,"Modern dog park in waterfront Ariake district","2-1-29 Ariake, Koto City, Tokyo 135-0063",https://www.tptc.co.jp,,,true
japan,tokyo,Paw Paw Club,shops_services,35.6764,139.7669,"Dog daycare and training center in Ueno","7-6-11 Ueno, Taito City, Tokyo 110-0005",https://www.pawpawclub.jp,+81-3-5807-2233,,true
japan,tokyo,Meguro River Walk Dog Path,parks,35.6445,139.7005,"Scenic riverside path popular for dog walking in spring","Meguro River, Meguro City, Tokyo",https://www.city.meguro.tokyo.jp,,,true
