city,category,name,address,district,lat,lng,description,website,phone,rating,ratingCount,photoUrls,sourceUrls,features_off_leash_allowed,features_water_bowls,features_dogs_allowed_indoors,activity_type,activity_attrs_entry,activity_attrs_shallow_entry
Berlin,park_offleash_area,Tempelhofer Feld (dog areas),"Tempelhofer Feld, Tempelhofer Damm, 12101 Berlin",Tempelhof-Schöneberg,52.48097,13.41052,Former airport turned park with zoned off-leash areas and long runways for walks; dogs must be leashed in some zones and during bird breeding season.,https://www.tempelhoferfeld.de/,,,,,https://de.wikipedia.org/wiki/Tempelhofer_Feld;https://www.tempelhoferfeld.de/,Zoned,UNKNOWN,UNKNOWN,park,open_field,
Berlin,lake_swim,Grunewaldsee Hundestrand (Dog beach),"Hundeauslaufgebiet Grunewald, 14193 Berlin",Charlottenburg-Wilmersdorf,52.47370,13.26180,Forest lake with very popular dog beach; huge adjacent off-leash area in Grunewald forest.,,,,,,https://en.wikipedia.org/wiki/Grunewaldsee;https://www.visitberlin.de/en/berlin-dog,Always,false,,lake,beach,true
Berlin,trail_hike,Grunewald Forest Trails,"Grunewald, Berlin",Charlottenburg-Wilmersdorf,52.47200,13.26200,Extensive forest network with signed trails; popular with dog walkers. Keep dogs under control and observe posted rules.,,,,,,https://www.visitberlin.de/en/berlin-dog,Zoned,false,,trail,forest,
Berlin,cafe_restaurant_bar,Café am Neuen See,"Lichtensteinallee 2, 10787 Berlin",Tiergarten (Mitte),52.51090,13.33940,Beer garden and restaurant by the lake in Tiergarten; dogs commonly welcomed on terrace.,https://cafeamneuensee.de/,,,,,https://en.wikipedia.org/wiki/Caf%C3%A9_am_Neuen_See;https://www.timeout.com/berlin/restaurants/cafe-am-neuen-see,Never,UNKNOWN,UNKNOWN,,,
Berlin,pet_store_boutique,Fressnapf Berlin-Kreuzberg,"Stresemannstraße 68, 10963 Berlin",Kreuzberg,52.50250,13.37640,"Large chain pet store for food, accessories and supplies.",https://www.fressnapf.de/stores/fressnapf-berlin-kreuzberg/,+49 30 25794006,,,,https://www.fressnapf.de/stores/fressnapf-berlin-kreuzberg/,Never,UNKNOWN,true,,,
Berlin,vet_clinic_hospital,Veterinärmedizinisches Zentrum Berlin – Tierarztpraxis Rödiger (24h),"Scharnweberstr. 136, 13405 Berlin",Reinickendorf,52.56670,13.32360,24/7 small animal hospital with emergency services.,https://www.vetzentrum-berlin.de/,+49 30 4127357,,,,https://www.vetzentrum-berlin.de/sprechzeiten/,Never,true,true,,,
Berlin,dog_walker_trainer,Martin Rütter Hundeschule Berlin (Inh. Sandau),"Kronprinzessinnenweg, 14109 Berlin",Wannsee (Steglitz-Zehlendorf),52.423313,13.1828682,Well-known dog training school offering group and individual sessions.,https://www.martinruetter.com/berlin-inh-sandau/,0175 5005049,,,,https://www.martinruetter.com/berlin-inh-sandau/;https://berlin.kauperts.de/eintrag/Ruetter-Martin-Kronprinzessinnenweg-14109-Berlin,Zoned,,,,,
Barcelona,lake_swim,Platja de Llevant – Àrea per a gossos (Dog Beach),"Platja de Llevant (zona canina), 08019 Barcelona",Sant Martí,41.40950,2.21950,Seasonal dog beach section with fenced area and water access.,https://www.barcelona.cat/infobarcelona/en/tema/environment/there-will-be-a-dog-beach-on-the-llevant-beach-this-summer_1106829.html,,,,,https://www.barcelona.cat/en;https://ajuntament.barcelona.cat/,Always,,,beach,beach,true
Barcelona,park_offleash_area,Parc de la Ciutadella (designated areas),"Passeig de Picasso, 21, 08003 Barcelona",Ciutat Vella,41.38800,2.18600,Historic city park; dogs allowed on-leash; check signage for any off-leash or fenced zones.,,,,,,https://blog.apartmentbarcelona.com/barcelona-with-dogs/,Zoned,,,,,
Barcelona,trail_hike,Carretera de les Aigües (Collserola),"Ctra. de les Aigües, 08035 Barcelona",Horta-Guinardó / Sarrià-Sant Gervasi,41.39000,2.10600,Iconic ridge path in Collserola Natural Park with panoramic city views; dogs must be on leash per park regulations.,https://www.barcelonaturisme.com/wv3/en/page/1237/carretera-de-les-aigues.html,,,,,https://parcnaturalcollserola.cat/en/benefit_biodiversity/;https://visit.santcugat.cat/en/collserola-natural-park/;https://www.barcelonaturisme.com/wv3/en/page/1237/carretera-de-les-aigues.html,Never,,,trail,ridge_trail,
